City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
101,Nago,JP,2020-02-23 09:52:36,26.59,127.98,64.4,63,20,11.41,few clouds,0.25,0.25
102,Arraial Do Cabo,BR,2020-02-23 09:49:28,-22.97,-42.03,71.6,88,75,6.93,broken clouds,0.25,0.25
103,Mys Shmidta,BR,2020-02-23 09:49:28,-22.97,-42.03,71.6,88,75,6.93,broken clouds,0.25,0.25
104,Zaltan,LY,2020-02-23 09:52:36,32.95,11.87,59.04,67,0,8.23,clear sky,0.25,0.25
105,Lastoursville,GA,2020-02-23 09:52:37,-0.81,12.73,84.36,66,100,4.0,overcast clouds,0.25,0.25
106,Constitucion,CL,2020-02-23 09:52:37,-35.33,-72.42,50.79,89,0,1.86,clear sky,0.25,0.25
107,Leningradskiy,RU,2020-02-23 09:52:37,69.38,178.42,-13.36,91,100,8.9,overcast clouds,0.25,0.25
108,Longyearbyen,SJ,2020-02-23 09:52:37,78.22,15.64,-2.2,64,20,12.75,few clouds,0.25,0.25
109,Nishihara,JP,2020-02-23 09:52:37,26.18,127.76,64.4,63,20,11.41,few clouds,0.25,0.25
110,Qaanaaq,GL,2020-02-23 09:52:37,77.48,-69.36,-13.05,92,100,1.57,overcast clouds,0.25,0.25
111,Tir Pol,GL,2020-02-23 09:52:37,77.48,-69.36,-13.05,92,100,1.57,overcast clouds,0.25,0.25
112,Sassandra,CI,2020-02-23 09:52:38,4.95,-6.08,84.54,74,91,5.21,overcast clouds,0.25,0.25
113,Dukat,RU,2020-02-23 09:52:38,62.55,155.55,-12.95,99,100,2.3,overcast clouds,0.25,0.25
114,Kruisfontein,ZA,2020-02-23 09:52:38,-34.0,24.73,67.06,48,61,8.3,broken clouds,0.25,0.25
115,Kaitangata,NZ,2020-02-23 09:52:38,-46.28,169.85,59.0,69,62,3.0,broken clouds,0.25,0.25
116,Hambantota,LK,2020-02-23 09:52:39,6.12,81.12,86.0,74,40,13.87,scattered clouds,0.25,0.25
117,Upernavik,GL,2020-02-23 09:52:39,72.79,-56.15,-15.36,88,60,3.62,broken clouds,0.25,0.25
118,Champerico,GT,2020-02-23 09:52:39,14.3,-91.92,74.12,82,0,2.86,clear sky,0.25,0.25
119,Coquimbo,CL,2020-02-23 09:52:39,-29.95,-71.34,57.2,93,40,5.35,scattered clouds,0.25,0.25
120,Hobyo,SO,2020-02-23 09:52:39,5.35,48.53,86.94,44,33,21.56,scattered clouds,0.25,0.25
121,Mount Pleasant,US,2020-02-23 09:49:01,32.79,-79.86,34.0,58,20,2.44,few clouds,0.25,0.25
122,Mahebourg,MU,2020-02-23 09:52:40,-20.41,57.7,84.2,74,75,6.93,broken clouds,0.25,0.25
123,Christchurch,NZ,2020-02-23 09:49:56,-43.53,172.63,60.01,82,0,8.05,clear sky,0.25,0.25
124,Puerto Ayora,EC,2020-02-23 09:52:40,-0.74,-90.35,77.0,100,30,4.74,scattered clouds,0.25,0.25
125,Matay,EG,2020-02-23 09:52:41,28.42,30.78,63.46,34,3,4.79,clear sky,0.25,0.25
126,Shache,CN,2020-02-23 09:52:41,38.42,77.24,61.2,12,23,7.29,few clouds,0.25,0.25
127,Lavrentiya,RU,2020-02-23 09:52:41,65.58,-171.0,-9.67,100,99,2.91,overcast clouds,0.25,0.25
128,Rio Grande,BR,2020-02-23 09:50:10,-32.03,-52.1,59.0,97,81,7.85,broken clouds,0.25,0.25
129,Broome,US,2020-02-23 09:52:42,42.25,-75.83,28.99,100,1,4.29,clear sky,0.25,1.0
130,Clyde River,CA,2020-02-23 09:52:42,70.47,-68.59,-29.2,73,75,11.41,haze,0.25,1.0
131,Yaan,NG,2020-02-23 09:52:42,7.38,8.57,92.41,10,53,7.7,broken clouds,0.25,1.0
132,Sitka,US,2020-02-23 09:52:42,57.05,-135.33,37.4,74,90,16.11,overcast clouds,0.25,1.0
133,Oksfjord,NO,2020-02-23 09:52:42,70.24,22.35,32.0,84,31,2.24,scattered clouds,0.25,1.0
134,Husavik,IS,2020-02-23 09:52:43,66.04,-17.34,20.07,67,29,9.01,scattered clouds,0.25,1.0
135,Talakan,RU,2020-02-23 09:52:43,50.32,130.37,8.15,94,91,0.98,overcast clouds,0.25,0.56
136,Moron,AR,2020-02-23 09:52:43,-34.65,-58.62,64.4,87,0,1.12,mist,0.25,0.63
137,Comodoro Rivadavia,AR,2020-02-23 09:48:16,-45.87,-67.5,66.2,39,0,8.05,clear sky,0.25,0.63
138,Nokaneng,BW,2020-02-23 09:52:44,-19.67,22.27,88.7,42,33,3.58,scattered clouds,0.25,0.63
139,Yerbogachen,RU,2020-02-23 09:52:44,61.28,108.01,18.66,95,100,5.55,overcast clouds,0.25,0.63
140,Tual,ID,2020-02-23 09:52:44,-5.67,132.75,82.69,77,40,11.74,light rain,0.88,0.63
141,Cherskiy,RU,2020-02-23 09:52:44,68.75,161.3,-24.29,95,93,6.87,overcast clouds,0.88,0.63
142,Bilibino,RU,2020-02-23 09:52:44,68.05,166.44,-28.1,100,98,0.72,overcast clouds,0.88,0.63
143,Lebu,CL,2020-02-23 09:52:45,-37.62,-73.65,49.19,93,0,1.14,clear sky,0.88,0.63
144,Nikolskoye,RU,2020-02-23 09:52:45,59.7,30.79,41.0,65,90,17.9,overcast clouds,0.88,0.63
145,Victoria,HK,2020-02-23 09:51:36,22.29,114.16,75.99,56,1,5.82,clear sky,0.88,0.63
