City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Sorland,NO,2020-02-21 05:39:35,67.67,12.69,35.6,93,75,6.93
175,Fergus Falls,US,2020-02-21 05:39:35,46.28,-96.08,17.6,85,1,12.75
176,Dingle,PH,2020-02-21 05:39:03,11.0,122.67,79.12,78,72,18.05
177,Sao Filipe,CV,2020-02-21 05:39:36,14.9,-24.5,68.27,83,2,17.16
178,Phalodi,IN,2020-02-21 05:39:36,27.13,72.37,70.05,36,16,12.21
179,Chinhoyi,ZW,2020-02-21 05:39:37,-17.37,30.2,70.5,85,0,3.85
180,Esenyurt,TR,2020-02-21 05:39:37,41.03,28.68,46.0,81,75,19.46
181,Angoche,MZ,2020-02-21 05:39:37,-16.23,39.91,81.75,82,50,6.87
182,Faya,SA,2020-02-21 05:39:37,18.39,42.45,60.8,67,0,4.7
183,Yonezawa,JP,2020-02-21 05:39:37,37.92,140.12,51.8,37,75,9.17
184,Cidreira,BR,2020-02-21 05:39:38,-30.18,-50.21,69.76,70,96,19.64
185,Hasaki,JP,2020-02-21 05:39:38,35.73,140.83,57.99,46,20,9.17
186,Daman,IN,2020-02-21 05:39:38,20.42,72.85,93.42,21,6,2.44
187,Bengkulu,ID,2020-02-21 05:39:38,-3.8,102.27,92.57,46,42,2.24
188,Haines Junction,CA,2020-02-21 05:39:38,60.75,-137.51,19.83,95,100,7.92
189,Sakaide,JP,2020-02-21 05:39:39,34.32,133.85,57.99,40,22,9.17
190,Flin Flon,CA,2020-02-21 05:39:39,54.77,-101.86,26.71,88,48,10.4
191,Fort-Shevchenko,KZ,2020-02-21 05:39:39,44.51,50.26,37.6,66,100,14.52
192,Villa Carlos Paz,AR,2020-02-21 05:38:14,-31.42,-64.5,62.01,77,28,2.24
193,Bethel,US,2020-02-21 05:39:39,41.37,-73.41,26.01,52,1,6.93
194,Cananeia,BR,2020-02-21 05:39:40,-25.01,-47.93,73.62,94,28,2.82
195,Whitehorse,CA,2020-02-21 05:37:17,60.72,-135.05,30.2,63,75,11.41
196,Aklavik,CA,2020-02-21 05:39:40,68.22,-135.01,5.0,84,75,7.74
197,Malinovoye Ozero,RU,2020-02-21 05:39:41,51.68,79.78,26.53,82,100,13.62
198,La Joya,MX,2020-02-21 05:39:41,18.67,-99.47,67.37,39,3,0.56
199,Kaele,CM,2020-02-21 05:39:41,10.11,14.45,70.05,24,0,12.71
200,Pokrovsk,UA,2020-02-21 05:39:41,48.28,37.18,31.37,93,100,11.27
201,Osmena,PH,2020-02-21 05:39:41,10.52,119.93,79.75,78,25,24.79
